target,first,last
0,0.8219836190213422,0.3808933374644294
41334,0.7759361432639899,0.20414532436968158
22359,0.6044571126007261,0.5613806267889941
1,0.8133035891956106,0.4002660015157686
63050,0.9919126672225953,0.18171816214622688
16115,0.8174691251336829,0.7786652898902577
20,0.7720560471731136,0.3303514470489675
60491,0.9452206300792524,0.1870843562832623
14409,0.5796768944834835,0.5367060613656544
149,0.9036464108382535,0.4207268458945847
34907,0.5682676100546094,0.22210958933095992
12913,0.7143404039395693,0.7113200898378692
162,0.9059612166793926,0.4312178987305682
1552,0.7574146183727233,0.21034576877722444
12409,0.7597706224329043,0.7441049418780877
245,0.6965167503019023,0.35031194858753173
51043,0.6858518919070671,0.255791521986217
12026,0.834493563419361,0.7713204638091244
339,0.9269879695252361,0.4557635472863046
19437,0.7360347716409401,0.3092292874100905
10319,0.5874452926908218,0.6860095641177966
361,0.6331012358657488,0.33367940459790474
338,0.8410213727668733,0.18852904368417192
9599,0.6721064008432306,0.6787088307533573
380,0.8001383450282729,0.4288674783326251
48591,0.8777798549655762,0.29902346973645844
8831,0.7732711324478226,0.780096683115663
649,0.646871965307616,0.38329339527408673
38293,0.8688375596084004,0.2025677493361469
8211,0.6160657046072603,0.5750642658191266
